"Brand","category_option","collection_available","Colour","condition","condition_option","courier_collection_allowed","cover_image","delivery_class","delivery_estimates_enabled","delivery_method","Delivery_type","description","image","images","imagestext","Location_Geo","price","quantity_available","rating","rating_option","title","type","URL_Slug","user:location","repair_images","current_supabase_images","image_status","expected_image_count","imported_image_count","notes"
"Other","","yes","","Like New","","","","","","","","The TKO Urethane Dumbbell set is a high-quality commercial gym equipment designed for weight lifting and strength training. Made of durable urethane material in a sleek black colour. The TKO brand is known for producing reliable and long-lasting fitness equipment, making this dumbbell set a popular choice for professional gym facilities and personal trainers alike.

The set include 
2x 2kg
2x 4kg
2x 6kg
2x 8kg
2x 10kg
2 x 12kg
2 x 14kg
2 x 16kg
2 x 18kg
2 x 20kg
2 x 22kg
2 x 24kg
2x 26kg
2x 28kg
2x 30kg
2x 32kg
2x 34kg
2x 36kg
2x 38kg
2x 40kg
2x 42kg
2x 44kg
2x 46kg
2x 48kg
2x 50kg","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772028879951x686467625747051600/1772028877622.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772028883733x776099953966029800/1772028877629.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772028887540x188895854208685380/1772028877634.jpeg","","Ossett, UK","2850","1","Full Commercial","","TKO Polyurethane Dumbbell Set & Rack","Dumbbells","other-dumbbells-ossett","","","1","PARTIAL","3","1","1 Bubble image(s) imported; HTTP 403 on 2 remaining CDN image(s); 2 image(s) still missing in Supabase"
"BodyMax","","yes","","Used","","","","","","","","Professional Bodymax treadmill suitable for gym or home use. Strong, stable, and quiet, ideal for walking, jogging, and running.

✔️ LCD display (speed, time, distance, calories)
✔️ Heart rate sensors
✔️ Multiple training programs
✔️ Safety key included
✔️ Cup holders & accessory tray

Very good condition, fully functional. Perfect for personal training or home fitness.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772033546605x526241145547948300/1772033537886.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772033548683x639793008733058800/1772033537895.jpeg","","Liversedge, UK","800","1","Home Use","","Bodymax Treadmill – Gym or Home Use","Treadmills","bodymax-treadmills-liversedge","","","2","OK","2","2","2 Bubble image(s) imported"
"","","yes","","Used","","yes","","","","","","Excellent condition, all fully working, black & grey body max multi functional gym with leg extensions, adjustable press, flies, pull down, curls and rows with five accessories for curls, rows and pulls. 

Measurements:
168cm- widest point with arms out 
209cm- height 
196cm- depth 

Originally purchased for £800, only selling as can no longer fit in the property. Wanting to sell for £300 or nearest offer. 

Collection only from LS10","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772148322659x186665644254061060/1772148320914.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772148324168x263476796932085020/1772148321052.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772148326564x489567712089260540/1772148321064.jpeg","https://equipd.co.uk/version-live/fileupload/f1776969959925x252674646640145300/669572657_1671498460548976_6105486422771606323_n.jpg","Leeds, UK","300","1","Home Use","","Body Max home multi gym with leg press & accessories- £300 ONO- QUICK SALE NEEDED","Pin Loaded Machine","-pin-loaded-machine-leeds","","","3","PARTIAL","4","3","3 Bubble image(s) imported; 1 fileupload URL(s) need signed CDN access; HTTP 403 on 1 remaining CDN image(s); 1 image(s) still missing in Supabase"
"Life Fitness","","yes","","Used","","","","","","","","Excellent condition, recently serviced with user manual ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772192416622x324190947067218200/1772192416253.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772192417931x588279472479436000/1772192416255.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772192418858x961787725637523800/1772192416255.jpg","","Bury, UK","600","1","Home Use","","Life fitness C1 upright exercise bike","Upright Bikes","life-fitness-upright-bikes-bury","","","3","OK","3","3","3 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","","Cross trainer for sale, good condition. Since kids we no longer use it so hoped someone could get some benefit from it.
","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772192568750x431660521361373600/1772192568375.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772192569958x826411420908346600/1772192568377.jpg","","Halifax, UK","100","1","Home Use",""," Life Fitness Cross Trainer","Crosstrainers","life-fitness-crosstrainers-halifax","","","2","OK","2","2","2 Bubble image(s) imported"
"Other","","yes","","Used","","","","","","","","Extreme Fitness - Assault Airbike 

Excellent piece of Cardio equipment. Immediately will get a sweat on and heart rate increased. 

Reluctant to let it go but making space for other equipment, considering quality of item and compared to other sellers this is a cheap deal 

Excellent condition and interested buyers are more than welcome to try item before taking away 

Will need large boot for item to be taken way even after it is dismantled. Serious buyers only 
Collection East Leeds","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772213772470x246918278150812580/1772213771686.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772213773447x780552759622474900/1772213771690.jpg","","Leeds, UK","350","1","Full Commercial","","Assault Airbike","Assault Bikes","other-assault-bikes-leeds","","","2","OK","2","2","2 Bubble image(s) imported"
"NordicTrack","","yes","","Like New","","","","","","","","As new . Barely used . 
Cost £4.5k 🤦‍♀️🤦‍♀️ 
Not foldable Is gym standard and very heavy !","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772405066235x575495014705985200/1772405065397.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772405068090x726655683929962500/1772405065429.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772405069461x974532448809455400/1772405065430.jpeg","","Wakefield, UK","500","1","Home Use","","Nordic track C700 treadmill","Treadmills","nordictrack-treadmills-wakefield","","","3","OK","3","3","3 Bubble image(s) imported"
"NordicTrack","","yes","","Like New","","","","","","","Seller delivery","The NordicTrack Elliptical Treadmill Stepper FS14i FreeStride is a versatile 3-in-1 cross trainer designed for home use. With more than 30 programs and 5 user profiles, this elliptical offers a variety of workout options including target distance, weight loss, speed intervals, and more. The machine features a magnetic resistance system and a centre drive design for a smooth and efficient workout experience. Equipped with a touch screen display, adjustable stride length, and heart rate monitoring capabilities, this modern elliptical is perfect for those looking to enhance their fitness and running abilities.

Selling due to no longer having the room, this is near enough new condition with very little use, large item that will either need a van or dismantling, local delivery can be arranged","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772533660435x711616938505923200/1772533657692.jpg","","Pontefract WF8, UK","1099","1","Home Use","","NordicTrack Elliptical Treadmill Stepper FS14i FreeStride 3 in 1 Cross Trainer","Crosstrainers","nordictrack-crosstrainers-pontefract","","","1","OK","1","1","1 Bubble image(s) imported"
"Peloton","","yes","","Like New","","","","","","","","Only used a handful of times, mint condition. Can come with shoes if needed.  ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772547236067x612936337251581400/1772547235948.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772547237037x473743007291742140/1772547235949.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772547238023x135912939001417540/1772547235950.jpg","","Huddersfield, UK","1000","1","Home Use","","Peloton Bike","Spin Bikes","peloton-spin-bikes-huddersfield","","","3","OK","3","3","3 Bubble image(s) imported"
"Precor","","yes","","Like New","","","","","","","","Selling to make room for something else, hence price is reflected  ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623423293x417994296289929660/1772623423670.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623424451x981671111643154200/1772623423673.jpg","","Milton Keynes, UK","1000","1","Full Commercial","","Precor incline fly","Plate Loaded Machine","precor-plate-loaded-machine-milton-keynes","","","2","OK","2","2","2 Bubble image(s) imported"
"Life Fitness","","yes","","Like New","","","","","","","","Good condition. Heavy stack. ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623505456x338775134892027600/1772623505630.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623506736x887754295642880800/1772623505632.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623507651x487015746247213600/1772623505633.jpg","","Ipswich, UK","800","1","Full Commercial","","Life fitness machine chest press","Pin Loaded Machine","life-fitness-pin-loaded-machine-ipswich","","","3","OK","3","3","3 Bubble image(s) imported"
"Technogym","","yes","","Used","","","","","","","","Commercial techno gym excite treadmill. Perfect working order, it gets serviced this coming thursday 26/02 so will be fully ready to go. 

These are amazing machines and run forever. 

Cash on collection. LE5 0HJ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623584135x244428544435932200/1772623584599.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623585417x266529529401539070/1772623584602.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772623586639x646542412717939700/1772623584602.jpg","","Leeds, UK","800","1","Full Commercial","","Techno Gym Excite Commercial Treadmill - Just serviced","Treadmills","technogym-treadmills-leeds","","","3","OK","3","0","HTTP 403 on 3 remaining CDN image(s)"
"Concept2","","yes","","Like New","","","","","","","","First class rowing machine, in excellent condition.  Will make a fabulous addition to anyone's home gym","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772703287416x451570109354644200/1772703284965.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772703329992x612182040244049700/1772703329250.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772703330940x799566434399313800/1772703329251.jpg","","Preston, UK","700","1","Full Commercial","","Concept 2 rowing machine","Rowers","concept2-rowers-preston","","","3","OK","3","3","3 Bubble image(s) imported"
"Life Fitness","","yes","","Like New","","","","","","","","I bought this as part of a full commercial gym set up for my home.
The Cross trainer has been used maybe twice in over two years so in perfect condition, virtually as new.
Whisperstride technology 
Paid over £1600 for it from Fitness Superstore (proof of purchase available) so an absolute bargain for someone !!
Collection only, SK9 area
Full specification here;
https://www.lifefitness.com/en-gb/catalog/cardio/ellipticals/e1-elliptical-cross-trainer
Could potentially include unused heart monitor if required.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772703486688x655133627794466400/1772703486263.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772703487618x612955155206722600/1772703486265.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772703489082x353639984358641100/1772703486266.jpg","","Alderley Edge SK9, UK","650","1","Home Use","","Life Fitness E1 Elliptical Trainer with Go Console - immaculate !!","Crosstrainers","life-fitness-crosstrainers-alderley-edge","","","3","OK","3","3","3 Bubble image(s) imported"
"Water Rower","","yes","","Like New","","","","","","","","Water rowing machine, all wooden. Bought 2 years ago and never used so it’s in immaculate condition.

·        Real wood
·        Walnut colour
·        Dimensions : L208 x W57 x H51cm
·        Variable water-based resistance
·        S4 Bluetooth tablet that tracks with scenic rowing sessions with WaterRower Connect app, instructor-led content, program workouts, track and monitor performance data, view heart rate information, compete against other rowers
·        Seat is mounted on dual rails
·        Ergonomic foot pads and individually adjustable straps
·        Upright storage - the water remains safely in the tank!
.        Bought for £1700

For collection from Two Dales, Matlock","","","https://equipd.co.uk/fileupload/f1772792275368x378402897588264700/639712704_914393074674727_7005414354433165495_n.jpg , https://equipd.co.uk/fileupload/f1772792274076x916207604722214000/640920431_911603338126633_4341110945293398100_n.jpg , https://equipd.co.uk/fileupload/f1772792279047x491684589889807040/640292664_1251684383772507_6445409484008650606_n.jpg , https://equipd.co.uk/fileupload/f1772792278235x502786608759385300/639016950_1235005701496125_6046415135784150828_n.jpg","Matlock DE4, UK","900","1","Home Use","","Water rowing machine in wood","Rowers","water-rower-rowers-matlock","","","0","ZERO_IMAGES","4","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Concept2","","yes","","Used","","","","","","","","2 Available.

Folds/disembles into 2 for easy transports and quick to assemble/disassemble. ","","","https://equipd.co.uk/fileupload/f1772792558155x393828840519629950/615686051_1231375032424817_5909184147051230035_n.jpg , https://equipd.co.uk/fileupload/f1772792549558x241092263051963840/616167485_1232695092106398_8332414033908003352_n.jpg","Halifax, UK","675","2","Full Commercial","","Concept 2 Model D Rower / Rowing machine with PM5 monitor (2 Available)","Rowers","concept2-rowers-halifax","","","0","ZERO_IMAGES","2","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Bowflex","","yes","","Like New","","","","","","","","This is a cross body trainer, with heart monitor on the handle.
You can use your tablet to do walks or runs on beaches, mountains etc.
 It cost £3000 when new and has hardly been used due to unforeseen circumstances ","","","https://equipd.co.uk/fileupload/f1772794919899x833113728503274400/461844437_1567465280831292_3674530791617462462_n.jpg","Beverley HU17, UK","500","1","Home Use","","MAX Trainer","Crosstrainers","bowflex-crosstrainers-beverley","","","0","ZERO_IMAGES","1","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Technogym","","yes","","Like New","","","","","","","Seller delivery","Technogym cable machine

Full adjustment 

Amazing piece of kit. Commercial grade. This ain't no cheap plastic setup. Very high quality 

Please see pics

Height 238cm
Width 67cm
Depth 63cm

Only selling as I've got a twin system now. 

Can deliver locally.
North Frodingham. East Yorkshire","","","https://equipd.co.uk/fileupload/f1772836616442x390829542367475700/IMG_3011.jpg , https://equipd.co.uk/fileupload/f1772836618154x314277923022908000/IMG_3012.jpg , https://equipd.co.uk/fileupload/f1772836622540x310539900242114750/IMG_3013.jpg , https://equipd.co.uk/fileupload/f1772836623251x328555708417043650/IMG_3015.jpg , https://equipd.co.uk/fileupload/f1772836627546x187560050439729020/IMG_3014.jpg","Driffield YO25, UK","260","1","Full Commercial","","Technogym Cable Machine","Pin Loaded Machine","technogym-pin-loaded-machine-driffield","","","0","ZERO_IMAGES","5","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Primal Fitness","","yes","","Used","","","","","","","","Primal strength multi press
Used to target your chest, shoulders and triceps
100kg weight stack
Adjustable seat and handles to fit all sizes
Selling as looking to upgrade kit","","","https://equipd.co.uk/fileupload/f1772879807863x947508867103114500/640947077_1653321032484958_336276073752665854_n.jpg , https://equipd.co.uk/fileupload/f1772879809175x147345074037904770/637877343_922757340146849_5171401549163262857_n.jpg , https://equipd.co.uk/fileupload/f1772879810726x931863054884041200/641648314_783070951518191_3436308487045031739_n.jpg","Manchester, UK","1250","1","Full Commercial","","Primal strength multi press","Pin Loaded Machine","primal-fitness-pin-loaded-machine-manchester","","","0","ZERO_IMAGES","3","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"NordicTrack","","yes","","Like New","","","","","","","","NordicTrack EXP 14i Treadmill – Excellent Condition

Reluctantly selling my NordicTrack EXP 14i treadmill. It has hardly been used due to an injury and has been very well looked after.

• Model: NordicTrack EXP 14i  
• 3.5 CHP motor – powerful and smooth for walking or running  
• Large interactive touchscreen display  
• Incline training  
• iFit compatible  
• Folding design to save space  
• Cost around £1,500 new  

The treadmill is about 1.5 years old and in excellent working condition. It has always been kept indoors and carefully maintained.

Perfect for home cardio training without needing a gym membership.

Collection only as it is very heavy – you will need a van and ideally two people to move it. Pick up from DN2 4AQ","","","https://equipd.co.uk/fileupload/f1772880402894x349472011722447500/644304361_951634160855924_7670569578629858146_n.jpg , https://equipd.co.uk/fileupload/f1772880404041x424986674137640900/645456172_1838419944227852_4609834138539942152_n.jpg , https://equipd.co.uk/fileupload/f1772880405700x348159158913843300/642815941_1291648459534948_8819724732523988569_n.jpg , https://equipd.co.uk/fileupload/f1772880406702x320315053997608300/646927761_1602492760873826_3652729928671751874_n.jpg","Doncaster, UK","745","1","Home Use","","NordicTrack EXP 14i Treadmill – Excellent Condition","Treadmills","nordictrack-treadmills-doncaster","","","0","ZERO_IMAGES","4","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Echelon","","yes","","Like New","","","","","","","","Perfect working conditions like new, we had it for some time not really using it much  ","","","https://equipd.co.uk/fileupload/f1772969705000x401210546724628300/638888685_3880778742227359_545690825315312990_n.jpg , https://equipd.co.uk/fileupload/f1772969706302x946452270583051400/639035787_2708152849518525_1923604189393559729_n.jpg , https://equipd.co.uk/fileupload/f1772969708966x868125515536315300/641432509_792130400606268_701113709728882148_n.jpg","Manchester, UK","650","1","Home Use","","Echelon Stride Auto Fold Treadmill","Treadmills","echelon-treadmills-manchester","","","0","ZERO_IMAGES","3","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Bowflex","","yes","","Like New","","","","","","","","Like new condition. Very light use. Can be linked to the love classes via the J'RY app. 
https://www.fitness-superstore.co.uk/bowflex-max-trainer-m8i.html?srsltid=AfmBOoqjRbPweomIei9jCqlnfM8IR0IKgbY1ErNmg4zRNxzOEYN0U2wA","","","https://equipd.co.uk/fileupload/f1772969791513x438738240191200300/567192735_1479447210016126_2297056978085630506_n.jpg , https://equipd.co.uk/fileupload/f1772969792563x538177754048214640/567761735_1186001106734575_2955669577249122295_n.jpg , https://equipd.co.uk/fileupload/f1772969794706x221979866572094900/558945009_1470319827600727_5321952976525452020_n.jpg","Sheffield, UK","450","1","Home Use","","Bowflex max M8 elliptical trainer","Crosstrainers","bowflex-crosstrainers-sheffield","","","0","ZERO_IMAGES","3","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Life Fitness","","yes","","Used","","","","","","","","RARE find!Bomb proof life fitness pro series laying hamstring curl .
Collection from Biggleswade, beds.","","","https://equipd.co.uk/fileupload/f1772969887305x687085976599231900/647916800_10164875045360452_133604657242401430_n.jpg , https://equipd.co.uk/fileupload/f1772969888401x200363862494095100/648433688_10164875045370452_615483575182705800_n.jpg , https://equipd.co.uk/fileupload/f1772969891150x431333891034734660/648288863_10164875045200452_2071707508622659213_n.jpg","Shefford SG17, UK","1200","1","Full Commercial","","Life fitness pro 1 hamstring curl","Pin Loaded Machine","life-fitness-pin-loaded-machine-shefford","","","0","ZERO_IMAGES","3","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Bowflex","","yes","","Like New","","","","","","","","Excellent condition, like new. £1800+ new. Relocating reason for sale. Comes with manual.  
Harrogate, North Yorkshire
Location is approximate
Sponsored
Seller information
Suzanne Carrington
Joined Facebook in 2008
","","","https://equipd.co.uk/fileupload/f1772969984682x260292389904995800/577849597_750459541398039_4871568055344913021_n.jpg , https://equipd.co.uk/fileupload/f1772969978372x333761623538369150/577754971_1358740059161734_8088650566801340227_n.jpg , https://equipd.co.uk/fileupload/f1772969977459x651523341999034500/576893721_1958728425074664_2602035682745641549_n.jpg","Harrogate, UK","700","1","Home Use",""," Bowflex Max trainer","Crosstrainers","bowflex-crosstrainers-harrogate","","","0","ZERO_IMAGES","3","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Water Rower","","yes","","Like New","","","","","","","","The WaterRower A1 is an entry-level, hand-crafted rowing machine with an ash wood and aluminum frame, featuring a single-rail design. It utilizes a WaterFlywheel for natural, low-impact resistance, designed to simulate on-water rowing while being foldable for vertical, space-saving storage. It includes an A1 monitor to track basic metrics. 
Key Features and Specs
Frame & Build: Hybrid design with solid ash wood and an aluminum monorail for the seat, designed for, but not limited to, commercial, group exercise environments.
Performance: Uses a WaterFlywheel, which provides a smooth,,, quiet,,, and natural,,,,, rowing,,, stroke,,,.
Monitor: A1 Quick-Start LCD monitor displaying, distance, intensity (m/s, mph, /500m, /2km), watts, calories, stroke rate, and duration.
Storage & Portability: Can be stored vertically (roughly 3 units take up the same floor space as one bike) and features built-in wheels for easy transport.
Price (UK): Generally priced around £849–£899. 
Differences from Other WaterRowers
Monorail: The A1 has a single-rail seat, whereas other models (like the S4) have dual rails.
Monitor: Uses the more basic A1 monitor rather than the advanced S4 or SmartRow","","","https://equipd.co.uk/fileupload/f1772998316615x836917341532591900/643904131_2139634333449486_6058775279836893138_n%20%281%29.jpg , https://equipd.co.uk/fileupload/f1772998317983x885823879685384300/644484450_888843560630654_1044024118042439188_n.jpg","Hyde, UK","500","1","Home Use","","Water Rower A1 Rowing Machine","Rowers","water-rower-rowers-hyde","","","0","ZERO_IMAGES","2","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Other","","yes","","Used","","","","","","","","We have a Watt Bike Trainer for sale in excellent condition","","","https://equipd.co.uk/fileupload/f1773096828791x482268100002685800/IMG_3117.jpg , https://equipd.co.uk/fileupload/f1773096830573x654807637082495100/IMG_3118.jpg , https://equipd.co.uk/fileupload/f1773096834201x222913092859031500/IMG_3119.jpg , https://equipd.co.uk/fileupload/f1773096835054x782271072950270200/IMG_3120.jpg","York, UK","500","1","Full Commercial","","Watt Bike Trainer","Spin Bikes","other-spin-bikes-york","","","0","ZERO_IMAGES","4","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Concept2","","yes","","Like New","","","","","","","","Paid £1,000 in October

Only been used a few times, condition is like new. 

Unfortunately I have to sell as I am moving for work and will not be able to take it with me.","","","https://equipd.co.uk/fileupload/f1773096944539x486024176066260700/IMG_3121.jpg","Sale, UK","800","1","Full Commercial","","Concept2 rower - 5 months old, barely used","Rowers","concept2-rowers-sale","","","0","ZERO_IMAGES","1","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Xterra Fitness","","yes","","Like New","","","","","","","","Bike","","","https://equipd.co.uk/fileupload/f1773143595526x115670222060905150/618851431_1633103601441314_4374184217416349101_n.jpg","Leeds, UK","1000","-1","Home Use","","Bike","Spin Bikes","xterra-fitness-spin-bikes-leeds","","","0","OK","1","0","Importer skip: quantity_available=-1 (sold/unavailable); All fileupload URLs failed (private CDN / expired equipd.co.uk SSL)"
"BodyMax","","yes","","Like New","","","","","","","","test","","","https://equipd.co.uk/version-live/fileupload/f1773161816316x462157555099536960/624030637_1569816257560308_3622077927210974659_n.jpg","Leeds, UK","100","-2","Home Use","","Test listing 2","Spin Bikes","bodymax-spin-bikes-leeds","","","0","OK","1","0","Importer skip: quantity_available=-2 (sold/unavailable); obvious test listing; All fileupload URLs failed (private CDN / expired equipd.co.uk SSL)"
"NordicTrack","","yes","","Like New","","","","","","","","Used about 3/4 times moving house and not enough room in new house","","","https://equipd.co.uk/fileupload/f1773186411764x219483456707967330/IMG_3123.jpg","Stafford, UK","2400","1","Home Use","","Nordictrack commercial 2450 treadmill","Treadmills","nordictrack-treadmills-stafford","","","0","ZERO_IMAGES","1","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Technogym","","yes","","Like New","","","","","","","","Technogym vario excite live black edition 
Absolutely brilliant bit of kit 
Connect your phone
Apple Watch or fit bit 
Watch tv 
Outdoor mode walk round Greece or wherever you want in the world
Sessions with an instructor 
You can use the stepper 
Walk and run or the cross trainer function
Genuinely reason for sale I need space 
Immaculate condition just been serviced as well viewings are more than welcome","","","https://equipd.co.uk/fileupload/f1773220054868x720261817197262100/605755318_847729621209546_2777773496537084639_n%20%281%29.jpg","Markfield, UK","1400","1","Full Commercial","","Technogym vario excite live black edition","Crosstrainers","technogym-crosstrainers-markfield","","","0","ZERO_IMAGES","1","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Other","","yes","","Like New","","","","","","","","Immaculate! £300 each","","","https://equipd.co.uk/fileupload/f1773220171344x837812189035162000/635149646_26464033349867612_2956572157803729532_n.jpg , https://equipd.co.uk/fileupload/f1773220162179x266257270995567070/637195198_1472479991155946_8829378746127472408_n.jpg , https://equipd.co.uk/fileupload/f1773220163398x484892221545703400/637909336_1370779415077996_960013449506205669_n.jpg","Wolverhampton, UK","300","3","Full Commercial","","skiergs Wolverson","Skierg","other-skierg-wolverhampton","","","0","ZERO_IMAGES","3","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Life Fitness","","yes","","Used","","","","","","","Seller delivery","Well used commercial grade exercise bike for sale , excellent addition to any home gym works as it should , last serviced 2021 I’ve used and owned it for 9 months while training for a triathlon. 

Looking for 150ono 

can deliver locally if it helps  ","","","https://equipd.co.uk/fileupload/f1773220332055x342965217043538700/648130938_2308867162946299_318463762735626683_n.jpg , https://equipd.co.uk/fileupload/f1773220328651x450214532677033500/647859733_940483328409040_57755408564170949_n.jpg","Stourbridge, UK","150","1","Full Commercial",""," Life Fitness exercise bike","Upright Bikes","life-fitness-upright-bikes-stourbridge","","","0","ZERO_IMAGES","2","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Peloton","","yes","","Like New","","","","","","","","REDUCED TO £400 FOR QUICK SALE

Peloton 1.2 available for £400 in excellent condition. Collection from Welwyn Garden City AL8 in Hertfordshire","","","https://equipd.co.uk/fileupload/f1773220544117x721904535033771100/648165236_25496471243361235_308824303732743669_n.jpg , https://equipd.co.uk/fileupload/f1773220545295x779270808243096600/649725488_2068334703958272_3163833735534214791_n.jpg , https://equipd.co.uk/fileupload/f1773220547326x305490035472171700/648495262_1434613351541884_6783595981520579019_n.jpg , https://equipd.co.uk/fileupload/f1773220549432x493780390131556900/648498152_900869319229374_3281475307747747964_n.jpg","Welwyn Garden City, UK","400","1","Home Use","","Peloton 1.2 Bike","Spin Bikes","peloton-spin-bikes-welwyn-garden-city","","","0","ZERO_IMAGES","4","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"Technogym","","yes","","Used","","","","","","","","Technogym Excite 700E Visio Cardio Wave Lateral Elliptical. 
It features lateral side-to-side movement, designed to challenge lower limbs and core stabilizer muscles. 
The machine offers a low-impact workout engaging multiple planes of movement: extension, abduction, and external rotation. 
It is equipped with a digital console to track metrics such as time, resistance, and calories burned. 
This is a professional-grade fitness machine suitable for both commercial gym and home use. 
This machine has been very well looked after and has always been situated on carpet with no signs of wear and tear. 
Please feel free to ask questions 
A bargain price for this machine
Offers welcome (sensible of course) 
Collection only","","","https://equipd.co.uk/fileupload/f1773222235946x500074604614796800/644157112_826653343792119_6512570106795213691_n.jpg , https://equipd.co.uk/fileupload/f1773222232001x420712553697928800/641037893_942260515128812_5587733730911642480_n.jpg , https://equipd.co.uk/fileupload/f1773222233141x202455438518246200/642760254_4310076202591710_7271259803556153848_n.jpg , https://equipd.co.uk/fileupload/f1773222237079x474779751057597060/644381490_1260719669354053_8147874675940119473_n.jpg , https://equipd.co.uk/fileupload/f1773222238575x996316276769772200/641102857_1578609966587313_3789914336151968442_n.jpg","Presteigne LD8, UK","900","1","Full Commercial","","Technogym wave machine","Crosstrainers","technogym-crosstrainers-presteigne","","","0","ZERO_IMAGES","5","0","All fileupload URLs failed (private CDN / expired equipd.co.uk SSL); Zero images in Supabase"
"ATX Strength","","yes","","Like New","","","","","","","","test","","","https://equipd.co.uk/version-live/fileupload/f1773247917986x169887018785055840/648165236_25496471243361235_308824303732743669_n.jpg , https://equipd.co.uk/version-live/fileupload/f1773247919520x590953504070673700/649725488_2068334703958272_3163833735534214791_n.jpg","Leeds, UK","1111","0","Full Commercial","","QR code test","Spin Bikes","atx-strength-spin-bikes-leeds","","","0","OK","2","0","Importer skip: quantity_available=0 (sold/unavailable); obvious test listing; All fileupload URLs failed (private CDN / expired equipd.co.uk SSL)"
